District,Change in overall poverty,Change in child poverty,Change in young child poverty,Change in overall deep poverty,Change in child deep poverty,Change in young child deep poverty,Population,Child population,Young child population,Original overall poverty rate,Original child poverty rate,Original young child poverty rate,Reform overall poverty rate,Reform child poverty rate,Reform young child poverty rate,Original overall deep poverty rate,Original child deep poverty rate,Original young child deep poverty rate,Reform overall deep poverty rate,Reform child deep poverty rate,Reform young child deep poverty rate
Maryland,-0.04,-0.08,-0.18899999999999997,-0.040999999999999995,-0.109,-0.27,"6,319,406","1,390,540","376,011",0.12539999999999998,0.1483,0.1585,0.1204,0.1364,0.1285,0.040999999999999995,0.0383,0.0355,0.0393,0.0341,0.0259
1,-0.141,-0.284,-0.736,0.0,0.0,0.0,"114,171","21,238","5,578",0.1109,0.1101,0.1592,0.09519999999999999,0.0788,0.0421,0.0414,0.0421,0.013999999999999999,0.0414,0.0421,0.013999999999999999
2,-0.06,-0.142,-0.6629999999999999,0.0,0.0,0.0,"133,897","29,705","7,835",0.09380000000000001,0.09820000000000001,0.0653,0.0882,0.0843,0.022000000000000002,0.032,0.0323,0.015700000000000002,0.032,0.0323,0.015700000000000002
3,-0.067,-0.077,-0.25,0.0,0.0,0.0,"140,519","30,562","8,475",0.1101,0.1321,0.1464,0.1027,0.122,0.10980000000000001,0.0318,0.0298,0.022000000000000002,0.0318,0.0298,0.022000000000000002
4,-0.015,-0.028999999999999998,-0.073,-0.006,-0.017,-0.017,"148,118","34,677","8,386",0.08839999999999999,0.0788,0.1027,0.08710000000000001,0.0765,0.09519999999999999,0.0263,0.026000000000000002,0.026099999999999998,0.026099999999999998,0.0256,0.025699999999999997
5,-0.067,-0.17300000000000001,-0.48700000000000004,-0.078,-0.247,-0.48,"137,094","28,591","6,856",0.0691,0.0766,0.063,0.0645,0.0633,0.032400000000000005,0.021400000000000002,0.0216,0.011399999999999999,0.0197,0.016200000000000003,0.0059
6,0.0,0.0,0.0,-0.005,-0.013999999999999999,-0.114,"125,612","26,628","6,496",0.1517,0.1416,0.096,0.1517,0.1416,0.096,0.0542,0.0738,0.0369,0.053899999999999997,0.0728,0.0327
7,-0.006,-0.009000000000000001,-0.021,-0.046,-0.134,-0.243,"141,761","29,232","7,021",0.09179999999999999,0.1041,0.1882,0.0913,0.1032,0.1843,0.030899999999999997,0.0259,0.059500000000000004,0.0294,0.022400000000000003,0.045
8,0.0,0.0,0.0,-0.034,-0.17300000000000001,-0.33799999999999997,"131,122","27,580","8,905",0.1439,0.1557,0.3223,0.1439,0.1557,0.3223,0.0603,0.0438,0.0695,0.0582,0.0362,0.046
9,-0.016,-0.038,-0.187,-0.015,-0.059000000000000004,-0.08900000000000001,"151,926","35,148","8,316",0.0737,0.0775,0.0441,0.0725,0.0746,0.0359,0.0207,0.015,0.0104,0.0204,0.0141,0.0095
10,-0.057,-0.048,-0.17300000000000001,-0.14300000000000002,-0.305,-1.0,"130,560","29,765","8,255",0.1518,0.1671,0.1648,0.1432,0.1591,0.1362,0.0346,0.0359,0.013500000000000002,0.0296,0.025,0.0
11,-0.035,-0.038,-0.175,-0.098,-0.327,-1.0,"133,964","29,445","6,855",0.10980000000000001,0.10980000000000001,0.1036,0.106,0.1056,0.08539999999999999,0.0332,0.0232,0.0137,0.03,0.015600000000000001,0.0
12,-0.07,-0.214,-0.578,0.0,0.0,0.0,"130,908","30,119","8,140",0.0913,0.09119999999999999,0.10980000000000001,0.0849,0.0717,0.0464,0.0333,0.0113,0.006999999999999999,0.0333,0.0113,0.006999999999999999
13,-0.016,-0.035,-0.13,0.0,0.0,0.0,"148,746","36,389","9,944",0.08,0.071,0.0709,0.0787,0.06849999999999999,0.0617,0.0277,0.0124,0.0254,0.0277,0.0124,0.0254
14,-0.039,-0.071,-0.09,-0.047,-0.23800000000000002,-0.447,"141,946","34,745","8,938",0.111,0.1373,0.2121,0.1066,0.1276,0.193,0.031,0.0194,0.0241,0.029500000000000002,0.0148,0.013300000000000001
15,-0.04,-0.07200000000000001,-0.212,-0.129,-0.401,-0.636,"132,970","28,885","6,485",0.09970000000000001,0.1183,0.134,0.09570000000000001,0.10980000000000001,0.1056,0.0298,0.025,0.0349,0.026000000000000002,0.0149,0.0127
16,-0.068,-0.134,-0.49700000000000005,-0.027000000000000003,-0.055,-0.43,"135,524","28,924","6,520",0.0885,0.09699999999999999,0.1152,0.0825,0.084,0.0579,0.0317,0.0268,0.0139,0.030899999999999997,0.0253,0.0079
17,-0.047,-0.095,-0.179,-0.248,-0.7020000000000001,-0.958,"148,403","29,757","6,458",0.16219999999999998,0.17739999999999997,0.3046,0.1545,0.1605,0.2502,0.0434,0.042800000000000005,0.056799999999999996,0.0327,0.0128,0.0024
18,-0.06,-0.11900000000000001,-0.23,-0.08800000000000001,-0.159,-0.597,"141,526","33,390","10,140",0.17739999999999997,0.22690000000000002,0.2784,0.16690000000000002,0.1999,0.2145,0.0481,0.051399999999999994,0.0275,0.0438,0.0432,0.0111
19,-0.05,-0.096,-0.171,-0.13,-0.253,-0.69,"150,024","36,757","11,018",0.1845,0.23879999999999998,0.3194,0.1753,0.2158,0.2647,0.0464,0.0489,0.0329,0.0404,0.0365,0.0102
20,-0.075,-0.177,-0.256,-0.013999999999999999,-0.059000000000000004,-0.193,"141,303","32,012","10,488",0.18059999999999998,0.1934,0.20629999999999998,0.1671,0.1592,0.1536,0.0547,0.043,0.0241,0.054000000000000006,0.0405,0.0194
21,-0.069,-0.128,-0.267,-0.036000000000000004,-0.14400000000000002,-0.201,"136,306","30,625","10,004",0.1309,0.15439999999999998,0.2047,0.1219,0.13470000000000001,0.15,0.0409,0.027000000000000003,0.0305,0.0394,0.0232,0.024399999999999998
22,-0.094,-0.16699999999999998,-0.319,-0.026000000000000002,-0.061,-0.068,"136,174","33,568","11,380",0.17809999999999998,0.24960000000000002,0.2377,0.1613,0.2079,0.16190000000000002,0.0447,0.0452,0.0621,0.0436,0.0425,0.0579
23,-0.044000000000000004,-0.061,-0.297,0.0,0.0,0.0,"133,548","27,862","6,988",0.0828,0.132,0.0953,0.07919999999999999,0.124,0.06709999999999999,0.0206,0.0063,0.0054,0.0206,0.0063,0.0054
24,-0.129,-0.223,-0.512,0.0,0.0,0.0,"130,034","28,421","7,178",0.1542,0.2475,0.2026,0.1343,0.1923,0.09880000000000001,0.0282,0.011699999999999999,0.005,0.0282,0.011699999999999999,0.005
25,-0.11199999999999999,-0.20600000000000002,-0.462,0.0,0.0,0.0,"126,098","26,868","6,876",0.1422,0.21170000000000003,0.1779,0.12619999999999998,0.168,0.09570000000000001,0.028399999999999998,0.0121,0.0045000000000000005,0.028399999999999998,0.0121,0.0045000000000000005
26,-0.03,-0.083,-0.18600000000000003,0.0,0.0,0.0,"127,742","24,824","6,997",0.1288,0.0974,0.1027,0.1249,0.08929999999999999,0.0836,0.0405,0.0166,0.0092,0.0405,0.0166,0.0092
27,-0.062,-0.086,-0.223,-0.055,-0.087,-0.431,"149,479","33,013","7,725",0.0907,0.1199,0.1306,0.0851,0.10949999999999999,0.1014,0.0318,0.0484,0.0418,0.0301,0.044199999999999996,0.023799999999999998
28,0.0,0.0,0.0,0.0,0.0,0.0,"153,446","36,303","8,135",0.0907,0.1121,0.08539999999999999,0.0907,0.1121,0.08539999999999999,0.024399999999999998,0.0152,0.0159,0.024399999999999998,0.0152,0.0159
29,-0.042,-0.054000000000000006,-0.192,-0.075,-0.098,-0.455,"145,299","33,493","7,307",0.085,0.11410000000000001,0.0966,0.0814,0.1079,0.0781,0.044500000000000005,0.0788,0.0781,0.0412,0.071,0.0425
30,0.0,0.0,0.0,0.0,0.0,,"133,757","28,419","8,782",0.08220000000000001,0.1378,0.07690000000000001,0.08220000000000001,0.1378,0.07690000000000001,0.0159,0.0102,0.0,0.0159,0.0102,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,"145,271","32,620","9,982",0.0746,0.0716,0.037200000000000004,0.0746,0.0716,0.037200000000000004,0.027200000000000002,0.0302,0.021400000000000002,0.027200000000000002,0.0302,0.021400000000000002
32,-0.068,-0.154,-0.504,0.0,0.0,0.0,"156,225","34,893","9,382",0.058899999999999994,0.063,0.0528,0.054900000000000004,0.0533,0.0262,0.019299999999999998,0.0138,0.011000000000000001,0.019299999999999998,0.0138,0.011000000000000001
33,-0.046,-0.107,-0.366,0.0,0.0,0.0,"145,629","33,012","8,479",0.048499999999999995,0.0495,0.0416,0.0462,0.044199999999999996,0.0264,0.013999999999999999,0.0049,0.0019,0.013999999999999999,0.0049,0.0019
34,-0.047,-0.062,-0.125,-0.141,-0.12300000000000001,-0.245,"134,752","30,031","8,293",0.1117,0.1373,0.2455,0.1065,0.1288,0.21489999999999998,0.055099999999999996,0.08560000000000001,0.1559,0.0473,0.075,0.1177
35,0.0,0.0,0.0,0.0,0.0,0.0,"138,773","29,335","7,225",0.0821,0.0542,0.0698,0.0821,0.0542,0.0698,0.0338,0.025099999999999997,0.031,0.0338,0.025099999999999997,0.031
36,0.0,0.0,0.0,0.0,0.0,0.0,"137,999","27,921","6,639",0.0898,0.0704,0.0482,0.0898,0.0704,0.0482,0.0269,0.0183,0.0036,0.0269,0.0183,0.0036
37,-0.004,-0.013000000000000001,-0.076,-0.039,-0.13,-0.408,"131,848","26,621","6,303",0.0989,0.0895,0.065,0.09849999999999999,0.08839999999999999,0.06,0.038,0.036699999999999997,0.0222,0.0365,0.0319,0.0132
38,-0.008,-0.024,-0.12,-0.055999999999999994,-0.168,-0.456,"129,653","26,979","6,765",0.12390000000000001,0.1226,0.09849999999999999,0.12279999999999999,0.11960000000000001,0.0867,0.06860000000000001,0.0723,0.047599999999999996,0.06480000000000001,0.0602,0.0259
39,-0.026000000000000002,-0.049,-0.107,-0.08199999999999999,-0.312,-0.396,"125,783","28,605","8,019",0.09630000000000001,0.1384,0.10890000000000001,0.09369999999999999,0.1317,0.0973,0.0298,0.022799999999999997,0.059800000000000006,0.0273,0.015700000000000002,0.0362
40,-0.004,-0.01,-0.013999999999999999,-0.033,-0.086,-0.289,"104,198","21,161","6,593",0.26530000000000004,0.3472,0.30920000000000003,0.2642,0.34369999999999995,0.3048,0.0966,0.11019999999999999,0.0917,0.0934,0.1007,0.0652
41,-0.003,-0.009000000000000001,-0.013000000000000001,-0.054000000000000006,-0.145,-0.47700000000000004,"112,002","23,321","7,424",0.2503,0.2987,0.2554,0.2495,0.2961,0.2522,0.0922,0.096,0.08560000000000001,0.0873,0.0821,0.044800000000000006
42,-0.004,-0.006999999999999999,-0.031,-0.011000000000000001,-0.031,-0.049,"131,511","27,893","7,397",0.1092,0.111,0.0944,0.10869999999999999,0.11019999999999999,0.0915,0.057800000000000004,0.052000000000000005,0.0605,0.0571,0.0504,0.0575
43,0.0,0.0,0.0,0.0,0.0,0.0,"111,884","21,848","6,911",0.1991,0.23370000000000002,0.2321,0.1991,0.23370000000000002,0.2321,0.07,0.067,0.0781,0.07,0.067,0.0781
44,-0.05,-0.13,-0.326,-0.028999999999999998,-0.10300000000000001,-0.32899999999999996,"117,785","26,236","7,311",0.15560000000000002,0.1857,0.2186,0.1478,0.1616,0.14730000000000001,0.0547,0.0403,0.026000000000000002,0.053099999999999994,0.0361,0.0175
45,0.0,0.0,0.0,0.0,0.0,0.0,"117,772","24,270","7,359",0.2145,0.27140000000000003,0.1886,0.2145,0.27140000000000003,0.1886,0.0789,0.0787,0.036000000000000004,0.0789,0.0787,0.036000000000000004
46,-0.005,-0.012,-0.019,-0.006999999999999999,-0.02,-0.054000000000000006,"115,319","23,573","6,815",0.3127,0.4718,0.3899,0.311,0.46619999999999995,0.3824,0.1142,0.1479,0.0722,0.1134,0.145,0.0683
47,-0.087,-0.156,-0.27699999999999997,-0.047,-0.10300000000000001,-0.134,"131,028","35,276","12,632",0.2143,0.2686,0.23800000000000002,0.1956,0.2266,0.172,0.0576,0.0572,0.0635,0.055,0.0513,0.055
